"ID";"CIDADE TITULO";"Tipo";"Data";"UF";"Cidade/Região";"Quantidade de municípios";"Realizada";"Relatório";"Participantes Soc. Civil";"Participantes Poder Público";"Participantes Conselhos";"Participantes convidados";"Participantes Observadores";"Total Participantes";"Proposta Eixo 1";"Propostas Eixo 2";"Propostas Eixo 3";"Propostas Eixo 4";"Total de propostas";"Delegados Sociedade Civil";"Delegados Poder Público";"Delegados Conselhos";"Total de delegados"
290;"Ubajara";"Municipal";10/11/11;"CE";"Ubajara";1;"SIM";"FINALIZADO";37;35;6;2;0;80;8;6;2;4;20;6;3;1;10
291;"Uibaí";"Municipal";10/11/11;"BA";"Uibaí";1;"SIM";"FINALIZADO";34;26;4;5;4;73;3;2;2;1;8;0;0;1;1
292;"Ampére";"Regional";11/11/11;"PR";"Ampére, Barracão, Bela Vista da Garoba, Boa Esperança do Iguaçu, Bom Jesus do Sul, Bom Sucesso do Sul, Capanema, Chopinzinho, Clevelândia, Coronel Vivida, Cruzeiro do Iguaçu, Dois Vizinhos, Enéas Marques, Flor da Serra do Sul, Francisco Beltrão, Honório Serpa, Manfrinópolis, Mangueirinha, Mariópolis, Marmeleiro, Nova Esperança do Sudoeste, Nova Prata do Iguaçu, Palmas, Pato Branco, Pinhal de São Bento, Planalto, Pranchita, Realeza, Renascença, Slagado Filho, Salto do Lontra, Santa Izabel do Oeste, Santo Antônio do Sudoeste,São João, Saudade do Iguaçu, Sulina";39;"SIM";"FINALIZADO";146;67;25;23;2;263;6;5;4;5;20;17;8;3;28
293;"Araçatuba";"Municipal";11/11/11;"SP";"Araçatuba";1;"SIM";"FINALIZADO";43;63;17;0;0;123;5;4;5;5;19;3;1;1;5
294;"Barra do Mendes";"Municipal";11/11/11;"BA";"Barra do Mendes";1;"SIM";"FINALIZADO";32;105;7;4;4;152;2;4;5;9;20;5;3;1;9
295;"Botucatu";"Municipal";11/11/11;"SP";"Botucatu";1;"SIM";"FINALIZADO";32;23;5;0;0;60;7;3;4;6;20;6;2;2;10
296;"Carmésia";"Regional";11/11/11;"MG";"Carmésia, Conceição do Mato Dentro, Congonhas do Norte, Dom Joaquim, Ferros, Morro do Pilar ";6;"SIM";"FINALIZADO";44;21;8;4;0;77;3;3;3;4;13;3;3;3;9
297;"Colinas do Tocantins";"Regional";11/11/11;"TO";"Colinas do Tocantins, Arapoema, Bandeirantes do Tocantins, Bernardo Sayão, Brasilândia do Tocantins, Couto de Magalhães, Itapiratins, Juarina, Palmeirante, Tupiratins ";10;"SIM";"FINALIZADO";15;80;25;5;7;132;8;4;5;3;20;7;3;1;11
298;"Cotia ";"Municipal";11/11/11;"SP";"Cotia ";1;"SIM";"FINALIZADO";7;9;4;3;2;25;1;1;1;1;4;1;1;0;2
299;"Iguatu";"Municipal";11/11/11;"CE";"Iguatu";1;"SIM";"FINALIZADO";135;19;13;30;8;205;5;5;5;5;20;12;5;4;21
300;"Itacoatiara";"Municipal";11/11/11;"AM";"Itacoatiara";1;"SIM";"FINALIZADO";21;55;9;2;2;89;8;4;3;5;20;6;3;1;10
301;"Lages";"Regional";11/11/11;"SC";"Lages, Anita Garibaldi, Bocaina do Sul, Bom Jardim da Serra, Bom Retiro, Campo Belo do Sul, Capão Alto, Cerro Negro, Correia Pinto,  Otacílio Costa, Painel, Palmeira, Ponte Alta, Rio Rufino, São Joaquim, São José do Cerrito, Urubici, Urupema ";18;"SIM";"FINALIZADO";18;21;12;10;0;61;1;6;6;7;20;8;1;6;15
302;"Mucugê";"Municipal";11/11/11;"BA";"Mucugê";1;"SIM";"FINALIZADO";58;17;9;11;3;98;5;4;4;4;17;1;1;1;3
303;"Nova Canaã do Norte";"Municipal";11/11/11;"MT";"Nova Canaã do Norte";1;"SIM";"FINALIZADO";43;15;7;5;10;80;2;2;6;5;15;1;1;1;3
