"ID";"CIDADE TITULO";"Tipo";"Data";"UF";"Cidade/Região";"Quantidade de municípios";"Realizada";"Relatório";"Participantes Soc. Civil";"Participantes Poder Público";"Participantes Conselhos";"Participantes convidados";"Participantes Observadores";"Total Participantes";"Proposta Eixo 1";"Propostas Eixo 2";"Propostas Eixo 3";"Propostas Eixo 4";"Total de propostas";"Delegados Sociedade Civil";"Delegados Poder Público";"Delegados Conselhos";"Total de delegados"
309;"Sumaré";"Municipal";12/11/11;"SP";"Sumaré";1;"SIM";"FINALIZADO";47;23;8;1;0;79;3;5;4;4;16;8;6;2;16
310;"Alto Feliz";"Regional";14/11/11;"RS";"Alto Feliz, Barão, Bom Princípio, Brochier, Capela de Santana, Feliz, Harmonia, Linha Nova, Maratá, Montenegro, Pareci Novo, Portão, Salvador do Sul, São José do Sul, São Pedro da Serra, São Sebastião do Caí, São Vendelino, Tupandi, Vale Real";19;"SIM";"FINALIZADO";16;15;1;5;4;41;1;2;2;3;8;4;15;1;20
311;"Boa Vista ";"Livre";14/11/11;"RR";"Boa Vista - EE Maria de Lourdes Neves";0;"SIM";"FINALIZADO";75;21;2;0;0;98;1;0;0;9;10;0;0;0;0
312;"Cantá";"Livre";14/11/11;"RR";"Cantá";0;"SIM";"FINALIZADO";27;5;15;0;0;47;2;2;1;5;10;0;0;0;0
313;"Florianópolis";"Livre";15/11/11;"SC";"Florianópolis";0;"SIM";"FINALIZADO";300;0;0;0;0;300;2;2;0;6;10;0;0;0;0
314;"Amélia Rodrigues";"Municipal";16/11/11;"BA";"Amélia Rodrigues";1;"SIM";"FINALIZADO";13;42;17;20;3;95;5;5;5;5;20;3;3;1;7
315;"Boa Vista ";"Livre";16/11/11;"RR";"Boa Vista - EE Conceição da Costa e Silva A";0;"SIM";"FINALIZADO";198;29;0;0;0;227;1;0;0;9;10;0;0;0;0
316;"Boa Vista ";"Livre";16/11/11;"RR";"Boa Vista - EE Conceição da Costa e Silva B";0;"SIM";"FINALIZADO";30;32;0;0;0;62;1;1;0;8;10;0;0;0;0
317;"Boa Vista ";"Livre";16/11/11;"RR";"Boa Vista - EE Hildebrando Ferro Bittencourt - Noturno";0;"SIM";"FINALIZADO";145;20;4;0;0;169;0;4;0;6;10;0;0;0;0
318;"Boa Vista ";"Livre";16/11/11;"RR";"Boa Vista - EE Penha Brasil";0;"SIM";"FINALIZADO";86;18;0;0;0;104;1;5;0;4;10;0;0;0;0
319;"Boa Vista ";"Livre";16/11/11;"RR";"Boa Vista - EE Penha Brasil";0;"SIM";"FINALIZADO";47;12;3;0;0;62;0;1;0;8;9;0;0;0;0
320;"Lauro de Freitas";"Municipal";16/11/11;"BA";"Lauro de Freitas";1;"SIM";"FINALIZADO";119;16;10;30;0;175;6;4;4;6;20;10;5;2;17
321;"Pimenta Bueno";"Municipal";16/11/11;"RO";"Pimenta Bueno";1;"SIM";"FINALIZADO";25;15;6;2;3;51;5;4;5;4;18;3;2;1;6
322;"Tejuçuoca";"Municipal";16/11/11;"CE";"Tejuçuoca";1;"SIM";"FINALIZADO";99;76;25;3;11;214;3;3;3;3;12;6;3;1;10
323;"Ângulo";"Regional";17/11/11;"PR";"Ângulo, Astorga, Atalaia, Colorado, Doutor Camargo, Floraí, Floresta, Flórida, Iguaraçu, Itaguajé, Itambé, Ivatuba, Lobato, Mandaguaçu, Mandaguari, Marialva, Maringá, Nossa Senhora das Graças, Nova Esperança, Ourizona, Paiçandu, Presidente Castelo Branco, Santa Fé, Santa Inês, Santo Inácio, São Jorge do Ivaí, Sarandi, Uniflor ";29;"SIM";"FINALIZADO";191;111;15;4;5;326;7;6;3;4;20;18;11;4;33
324;"Assaré";"Municipal";17/11/11;"CE";"Assaré";1;"SIM";"FINALIZADO";58;51;18;10;5;142;3;3;4;10;20;5;3;1;9
325;"Boa Vista ";"Livre";17/11/11;"RR";"Boa Vista - EE 31 de Março";0;"SIM";"FINALIZADO";53;10;3;0;0;66;1;3;1;5;10;0;0;0;0
326;"Boa Vista ";"Livre";17/11/11;"RR";"Boa Vista - EE Elza Breves de Carvalho - Vespertino";0;"SIM";"FINALIZADO";118;15;0;0;0;133;0;0;0;10;10;0;0;0;0
327;"Glorinha";"Municipal";17/11/11;"RS";"Glorinha";1;"SIM";"FINALIZADO";14;12;3;2;0;31;5;5;5;5;20;1;1;1;3
328;"Guajará-Mirim";"Municipal";17/11/11;"RO";"Guajará-Mirim";1;"SIM";"FINALIZADO";40;35;9;15;5;104;3;5;5;7;20;3;2;1;6
329;"Itumbiara";"Livre";17/11/11;"GO";"Itumbiara";0;"SIM";"FINALIZADO";2;1;38;0;0;41;0;0;10;0;10;0;0;0;0
330;"Ji-Paraná";"Municipal";17/11/11;"RO";"Ji-Paraná";1;"SIM";"FINALIZADO";90;40;20;20;20;190;5;5;5;5;20;7;5;2;14
331;"Joaçaba";"Regional";17/11/11;"SC";"Joaçaba, Água Doce, Capinzal, Catanduvas, Erval Velho, Herval d'Oeste, Ibicaré,  Lacerdópolis, Luzerna, Ouro, Tangará, Treze Tílias, Vargem Bonita ";13;"SIM";"FINALIZADO";15;25;20;12;10;82;5;5;5;5;20;6;3;2;11
332;"Logradouro";"Municipal";17/11/11;"PB";"Logradouro";1;"SIM";"FINALIZADO";10;24;2;6;0;42;5;5;5;5;20;0;1;0;1
333;"Nova Mamoré";"Municipal";17/11/11;"RO";"Nova Mamoré";1;"SIM";"FINALIZADO";10;14;4;1;1;30;4;4;4;4;16;1;1;1;3
334;"Remígio";"Municipal";17/11/11;"PB";"Remígio";1;"SIM";"FINALIZADO";47;30;16;6;5;104;3;3;3;3;12;1;1;1;3
335;"Abdon Batista";"Regional";18/11/11;"SC";"Abdon Batista, Brunópolis, Campos Novos, Celso Ramos, Monte Carlo, Vargem, Zortéa";7;"SIM";"FINALIZADO";30;50;6;8;0;94;4;4;4;4;16;1;1;0;2
336;"Arauá";"Municipal";18/11/11;"SE";"Arauá";1;"SIM";"FINALIZADO";45;61;8;7;1;122;4;11;2;3;20;9;3;3;15
337;"Balsas";"Regional";18/11/11;"MA";"Balsas, Alto Parnaíba,  Carolina, Feira Nova do Maranhão, Formosa da Serra Negra, Fortaleza dos Nogueiras, Loreto, Nova Colinas, Riachão, Sambaíba, São Félix de Balsas, São Pedro dos Crentes, São Raimundo das Mangabeiras, Tasso Fragoso ";14;"SIM";"FINALIZADO";58;28;3;12;19;120;4;4;7;5;20;6;3;1;10
338;"Boa Vista ";"Livre";18/11/11;"RR";"Boa Vista - EE Buriti";0;"SIM";"FINALIZADO";164;34;0;0;0;198;1;3;0;6;10;0;0;0;0
339;"Boa Vista ";"Livre";18/11/11;"RR";"Boa Vista - EE Caranã (Matutino)";0;"SIM";"FINALIZADO";119;18;3;0;0;140;0;0;0;10;10;0;0;0;0
340;"Boa Vista ";"Livre";18/11/11;"RR";"Boa Vista - EE Caranã (Noturno)";0;"SIM";"FINALIZADO";103;25;5;0;0;133;1;4;0;5;10;0;0;0;0
341;"Boa Vista ";"Livre";18/11/11;"RR";"Boa Vista - EE Caranã (Vespertino)";0;"SIM";"FINALIZADO";293;19;3;0;0;315;0;1;0;9;10;0;0;0;0
342;"Lucas do Rio Verde";"Municipal";18/11/11;"MT";"Lucas do Rio Verde";1;"SIM";"FINALIZADO";75;0;0;0;0;75;5;5;5;5;20;1;0;0;1
343;"Macapá";"Livre";18/11/11;"AP";"Macapá";0;"SIM";"FINALIZADO";5;33;8;0;0;46;0;10;0;0;10;0;0;0;0
344;"Pontão ";"Municipal";18/11/11;"RS";"Pontão ";1;"SIM";"FINALIZADO";0,55;18;8;0,03;1;27,58;1;1;1;1;4;1;0;0;1
345;"Porto Nacional";"Regional";18/11/11;"TO";"Porto Nacional, Brejinho de Nazaré, Chapada da Natividade, Fátima, Ipueiras, Mateiros, Monte do Carmo, Natividade, Pindorama do Tocantins, Ponte Alta do Tocantins, Santa Rosa do Tocantins, Silvanópolis ";12;"SIM";"FINALIZADO";15;24;8;8;12;67;6;4;5;5;20;7;6;1;14
346;"Ribeirão Bonito";"Municipal";18/11/11;"SP";"Ribeirão Bonito";1;"SIM";"FINALIZADO";55;18;6;7;4;90;4;4;4;8;20;1;1;1;3
347;"São Félix de Minas";"Regional";18/11/11;"MG";"São Félix de Minas, Central de Minas, Cuparaque, Divino das Laranjeiras, Itabirinha de Mantena, Jampruca, Mantena, Mendes Pimentel, Nova Belém, Nova Módica, São João do Manteninha, São José do Divino ";12;"SIM";"FINALIZADO";10;11;11;2;0;34;5;5;4;5;19;3;2;2;7
348;"Tarrafas ";"Municipal";18/11/11;"CE";"Tarrafas ";1;"SIM";"FINALIZADO";28;25;15;20;12;100;3;2;3;2;10;7;2;1;10
349;"Manaus";"Livre";20/11/11;"AM";"Manaus";0;"SIM";"FINALIZADO";200;0;0;0;0;200;4;2;2;2;10;0;0;0;0
350;"Guajeru";"Municipal";21/11/11;"BA";"Guajeru";1;"SIM";"NÃO RELATADA";;;;;;0;;;;;0;;;;0
351;"Boa Vista ";"Livre";21/11/11;"RR";"Boa Vista - EE Dom José Nepote";0;"SIM";"FINALIZADO";432;30;0;0;0;462;2;3;0;5;10;0;0;0;0
352;"Boa Vista ";"Livre";21/11/11;"RR";"Boa Vista - EE Princesa Isabel";0;"SIM";"FINALIZADO";149;22;2;0;0;173;3;5;0;2;10;0;0;0;0
353;"Veranópolis";"Regional";21/11/11;"RS";"Veranópolis, Cotiporã, Nova Bassano, Nova Prata, Vila Flores";5;"SIM";"FINALIZADO";6;17;6;0;0;29;6;2;6;2;16;3;8;4;15
354;"Balneário Camboriú";"Livre";22/11/11;"SC";"Balneário Camboriú";0;"SIM";"FINALIZADO";87;0;10;0;0;97;10;0;0;0;10;0;0;0;0
355;"Boa Vista ";"Livre";22/11/11;"RR";"Boa Vista - EE Professor Camilo Dias";0;"SIM";"FINALIZADO";275;10;0;0;0;285;0;8;1;1;10;0;0;0;0
356;"Boa Vista ";"Livre";22/11/11;"RR";"Boa Vista - EE Professor Camilo Dias";0;"SIM";"FINALIZADO";254;14;0;0;0;268;0;2;2;6;10;0;0;0;0
357;"Cascavel";"Municipal";22/11/11;"CE";"Cascavel";1;"SIM";"FINALIZADO";12;17;19;15;7;70;4;5;6;5;20;6;3;0;9
358;"Farias Brito";"Municipal";22/11/11;"CE";"Farias Brito";1;"SIM";"FINALIZADO";29;19;8;10;10;76;3;3;4;3;13;6;3;1;10
359;"Guaraí";"Regional";22/11/11;"TO";"Guaraí, Colméia, Goianorte, Fortaleza do Tabocão, Itacajá, Itaporã do Tocantins, Pequizeiro, Presidente Kennedy";8;"SIM";"FINALIZADO";73;15;8;2;0;98;4;3;7;6;20;6;3;1;10
360;"Nova Olinda";"Municipal";22/11/11;"CE";"Nova Olinda";1;"SIM";"FINALIZADO";23;43;11;7;0;84;5;4;4;6;19;6;3;1;10
361;"Pedrinhas";"Municipal";22/11/11;"SE";"Pedrinhas";1;"SIM";"FINALIZADO";63;20;17;5;10;115;5;6;6;3;20;7;1;2;10
362;"Rolim de Moura";"Regional";22/11/11;"RO";"Rolim de Moura, Alto Alegre dos Parecis, Castanheiras, Primavera de Rondônia, Santa Luzia d'Oeste ";5;"SIM";"FINALIZADO";79;94;34;0;0;207;3;7;5;5;20;7;6;5;18
363;"Sorriso";"Municipal";22/11/11;"MT";"Sorriso";1;"SIM";"FINALIZADO";1;0;0;0;0;1;6;5;5;3;19;0;1;0;1
364;"Barra do Corda";"Regional";23/11/11;"MA";"Barra do Corda, Arame, Fernando Falcão, Grajaú, Itaipava do Grajaú, Jenipapo dos Vieiras, Sítio Novo, Tuntum ";8;"SIM";"FINALIZADO";53;40;10;2;0;105;1;4;9;6;20;12;6;2;20
365;"Boa Vista ";"Livre";23/11/11;"RR";"Boa Vista - EE Luiz Ribeiro de Lima - Matutino";0;"SIM";"FINALIZADO";240;20;4;0;0;264;0;1;1;8;10;0;0;0;0
366;"Boa Vista ";"Livre";23/11/11;"RR";"Boa Vista - EE Luiz Ribeiro de Lima - Noturno";0;"SIM";"FINALIZADO";245;19;3;0;0;267;0;1;1;8;10;0;0;0;0
367;"Boa Vista ";"Livre";23/11/11;"RR";"Boa Vista - EE Luiz Ribeiro de Lima (Vespertino)";0;"SIM";"FINALIZADO";194;32;14;0;0;240;2;2;0;6;10;0;0;0;0
368;"Boa Vista ";"Livre";23/11/11;"RR";"Boa Vista - EE Maria Sonia Brito de Lima";0;"SIM";"FINALIZADO";118;19;2;0;0;139;2;3;1;4;10;0;0;0;0
369;"Cubatão";"Municipal";23/11/11;"SP";"Cubatão";1;"SIM";"FINALIZADO";146;8;5;2;0;161;3;3;3;3;12;1;2;1;4
370;"Icó";"Municipal";23/11/11;"CE";"Icó";1;"SIM";"FINALIZADO";55;30;4;5;6;100;3;5;4;8;20;6;3;1;10
371;"Marituba";"Municipal";23/11/11;"PA";"Marituba";1;"SIM";"FINALIZADO";38;55;15;2;10;120;3;4;5;4;16;8;4;2;14
372;"Barra do Guarita";"Regional";24/11/11;"RS";"Barra do Guarita, Bom Progresso, Braga, Campo Novo, Chiapeta, Coronel Bicaco, Crissiumal, Derrubadas, Esperança do Sul, Humaitá, Inhacorá, Miraguaí, Redentora, Santo Augusto, São Martinho, São Valério do Sul, Sede Nova, Tenente Portela, Tiradentes do Sul, Três Passos, Vista Gaúcha ";21;"SIM";"FINALIZADO";0;0;0;0;0;0;7;5;2;6;20;1;0;0;1
373;"Bela Cruz";"Municipal";24/11/11;"CE";"Bela Cruz";1;"SIM";"FINALIZADO";25;31;13;9;0;78;7;3;3;7;20;6;3;1;10
374;"Boa Vista ";"Livre";24/11/11;"RR";"Boa Vista - EE Carlos Drumond de Andrade";0;"SIM";"FINALIZADO";134;32;3;0;0;169;2;4;0;4;10;0;0;0;0
375;"Boa Vista ";"Livre";24/11/11;"RR";"Boa Vista - EE Carlos Drumond de Andrade (Noturno)";0;"SIM";"FINALIZADO";198;23;2;0;0;223;1;5;0;4;10;0;0;0;0
376;"Boa Vista ";"Livre";24/11/11;"RR";"Boa Vista - EE Carlos Drumond de Andrade (Vespertino)";0;"SIM";"FINALIZADO";168;27;10;0;0;205;3;1;1;5;10;0;0;0;0
377;"Boa Vista ";"Livre";24/11/11;"RR";"Boa Vista - EE Fernando Granjeiro - Matutino";0;"SIM";"FINALIZADO";89;19;0;0;0;108;0;4;0;6;10;0;0;0;0
378;"Boa Vista ";"Livre";24/11/11;"RR";"Boa Vista - EE Fernando Granjeiro de Menezes - Noturno";0;"SIM";"FINALIZADO";218;33;2;0;0;253;0;3;0;7;10;0;0;0;0
379;"Boa Vista ";"Livre";24/11/11;"RR";"Boa Vista - EE Fernando Granjeiro de Menezes - Vespertino";0;"SIM";"FINALIZADO";87;19;3;0;0;109;1;2;1;6;10;0;0;0;0
380;"Cacoal";"Municipal";24/11/11;"RO";"Cacoal";1;"SIM";"FINALIZADO";47;24;8;10;0;89;5;3;7;5;20;5;3;1;9
381;"Itabaianinha";"Municipal";24/11/11;"SE";"Itabaianinha";1;"SIM";"FINALIZADO";45;90;10;15;9;169;5;5;5;5;20;2;2;2;6
382;"Itaberaba";"Municipal";24/11/11;"BA";"Itaberaba";1;"SIM";"FINALIZADO";14;21;7;2;1;45;5;5;5;5;20;4;2;1;7
383;"Marau";"Municipal";24/11/11;"RS";"Marau";1;"SIM";"FINALIZADO";18;16;4;4;5;47;1;2;1;1;5;0;1;0;1
384;"Solonópole";"Municipal";24/11/11;"CE";"Solonópole";1;"SIM";"FINALIZADO";29;16;12;3;0;60;3;6;7;4;20;5;3;2;10
385;"Realeza";"Municipal";25/11/11;"PR";"Realeza";1;"SIM";"NÃO RELATADA";;;;;;0;;;;;0;;;;0
386;"Altamira do Paraná";"Regional";25/11/11;"PR";"Altamira do Paraná, Araruna, Barbosa Ferraz, Boa Esperança, Campina da Lagoa, Campo Mourão, Corumbataí do Sul, Engenheiro Beltrão, Farol, Fênix, Goioerê, Janiópolis, Juranda, Luiziana, Mamborê, Moreira Sales, Nova Cantu, Peabiru, Quarto Centenário, Quinta do Sol, Rancho Alegre d'Oeste, Terra Boa, Ubiratã";23;"SIM";"FINALIZADO";70;42;27;10;5;154;7;4;3;6;20;10;5;2;17
387;"Boa Vista ";"Livre";25/11/11;"RR";"Boa Vista - EE Antônio Carlos da Silva Natalino - Matutino";0;"SIM";"FINALIZADO";250;23;6;0;0;279;1;2;0;7;10;0;0;0;0
388;"Boa Vista ";"Livre";25/11/11;"RR";"Boa Vista - EE Antônio Carlos da Silva Natalino - Vespertino";0;"SIM";"FINALIZADO";269;34;8;0;0;311;0;3;0;7;10;0;0;0;0
389;"Boa Vista ";"Livre";25/11/11;"RR";"Boa Vista - EE Carlos Casadio";0;"SIM";"FINALIZADO";259;18;2;0;0;279;4;3;2;1;10;0;0;0;0
390;"Boa Vista ";"Livre";25/11/11;"RR";"Boa Vista - EE Carlos Casadio (Matutino)";0;"SIM";"FINALIZADO";95;28;0;0;0;123;0;10;0;0;10;0;0;0;0
391;"Boa Vista ";"Livre";25/11/11;"RR";"Boa Vista - EE Gonçalves Dias (Matutino)";0;"SIM";"FINALIZADO";205;0;0;0;0;205;2;6;1;1;10;0;0;0;0
392;"Boa Vista ";"Livre";25/11/11;"RR";"Boa Vista - EE Gonçalves Dias (Matutino)";0;"SIM";"FINALIZADO";2;2;4;0;0;8;1;0;0;0;1;0;0;0;0
393;"Cajazeiras";"Municipal";25/11/11;"PB";"Cajazeiras";1;"SIM";"FINALIZADO";19;83;13;9;1;125;5;3;5;6;19;4;2;2;8
394;"Canoas";"Regional";25/11/11;"RS";"Canoas, Esteio, Nova Santa Rita, Sapucaia do Sul";4;"SIM";"FINALIZADO";108;173;34;4;0;319;5;5;5;5;20;44;21;7;72
395;"Guaiúba";"Municipal";25/11/11;"CE";"Guaiúba";1;"SIM";"FINALIZADO";108;80;41;11;15;255;5;3;3;1;12;6;2;1;9
396;"João Pessoa";"Municipal";25/11/11;"PB";"João Pessoa";1;"SIM";"FINALIZADO";162;99;15;0;30;306;4;9;3;4;20;29;15;6;50
397;"Joinville";"Regional";25/11/11;"SC";"Joinville, Araquari, Balneário Barra do Sul, Campo Alegre, Garuva, Itapoá,  Rio Negrinho, São Bento do Sul, São Francisco do Sul ";9;"SIM";"FINALIZADO";102;87;10;17;0;216;2;5;5;8;20;34;14;5;53
398;"Palmas";"Regional";25/11/11;"TO";"Palmas, Aparecida do Rio Negro, Lagoa do Tocantins, Lajeado, Lizarda, Novo Acordo,  Santa Tereza do Tocantins, São Félix do Tocantins ";8;"SIM";"FINALIZADO";72;74;35;29;38;248;3;3;7;7;20;23;9;5;37
399;"Presidente Dutra";"Regional";25/11/11;"MA";"Presidente Dutra, Capinzal do Norte, Dom Pedro, Fortuna, Gonçalves Dias, Governador Archer, Governador Eugênio Barros, Graça Aranha, Joselândia, Santa Filomena do Maranhão, Santo Antônio dos Lopes, São Domingos do Maranhão, São José dos Basílios, Senador Alexandre Costa ";14;"SIM";"FINALIZADO";80;50;10;10;0;150;3;4;4;2;13;5;3;1;9
400;"Santarém";"Municipal";25/11/11;"PA";"Santarém";1;"SIM";"FINALIZADO";50;34;10;10;6;110;7;4;4;5;20;23;10;2;35
401;"São Gabriel do Oeste";"Regional";25/11/11;"MS";"São Gabriel do Oeste, Rio Verde de Mato Grosso";2;"SIM";"FINALIZADO";34;73;8;0;0;115;6;3;5;6;20;14;7;3;24
402;"Senador Pompeu";"Municipal";25/11/11;"CE";"Senador Pompeu";1;"SIM";"FINALIZADO";19;32;3;7;10;71;1;3;2;4;10;6;3;1;10
403;"Viçosa";"Municipal";25/11/11;"MG";"Viçosa";1;"SIM";"FINALIZADO";25;9;12;0;0;46;5;3;4;3;15;7;2;2;11
404;"Ribeirão Preto";"Municipal";26/11/11;"SP";"Ribeirão Preto";1;"SIM";"FINALIZADO";47;19;8;2;1;77;7;5;1;7;20;6;3;1;10
405;"Santo Ângelo";"Municipal";28/11/11;"RS";"Santo Ângelo";1;"SIM";"NÃO RELATADA";;;;;;0;;;;;0;;;;0
406;"Araranguá";"Regional";28/11/11;"SC";"Araranguá, Balneário Arroio do Silva, Balneário Gaivota, Ermo, Jacinto Machado, Maracajá, Meleiro, Morro Grande, Passo de Torres, Praia Grande, Santa Rosa do Sul, São João do Sul, Sombrio, Timbé do Sul, Turvo";15;"SIM";"FINALIZADO";52;43;15;0;0;110;5;5;5;5;20;9;7;5;21
407;"Boa Vista ";"Livre";28/11/11;"RR";"Boa Vista - EE Jesus Nazareno - Noturno";0;"SIM";"FINALIZADO";580;24;6;0;0;610;0;4;2;4;10;0;0;0;0
408;"Boa Vista ";"Livre";28/11/11;"RR";"Boa Vista - EE Jesus Nazareno - Vespertino";0;"SIM";"FINALIZADO";530;25;2;0;0;557;1;2;1;6;10;0;0;0;0
409;"Boa Vista ";"Livre";28/11/11;"RR";"Boa Vista - EE Presidente Tancredo Neves";0;"SIM";"FINALIZADO";204;24;2;0;0;230;0;2;1;7;10;0;0;0;0
410;"Cáceres";"Municipal";28/11/11;"MT";"Cáceres";1;"SIM";"FINALIZADO";27;13;7;2;1;50;4;4;8;4;20;0;1;0;1
411;"Beberibe";"Municipal";29/11/11;"CE";"Beberibe";1;"SIM";"FINALIZADO";69;34;11;15;3;132;4;8;3;5;20;6;3;1;10
412;"Boa Vista ";"Livre";29/11/11;"RR";"Boa Vista - EE Maria Nilce Brandão";0;"SIM";"FINALIZADO";324;18;0;0;0;342;1;1;0;8;10;0;0;0;0
413;"Boa Vista ";"Livre";29/11/11;"RR";"Boa Vista - EE Ulisses Guimarães";0;"SIM";"FINALIZADO";253;15;2;0;0;270;2;3;0;5;10;0;0;0;0
414;"Boa Vista ";"Livre";29/11/11;"RR";"Boa Vista - EE Voltaire Pinto Ribeiro - Matutino";0;"SIM";"FINALIZADO";115;25;2;0;0;142;1;3;0;6;10;0;0;0;0
415;"Boa Vista ";"Livre";29/11/11;"RR";"Boa Vista - EE Voltaire Pinto Ribeiro - Noturno";0;"SIM";"FINALIZADO";161;64;0;0;0;225;1;1;1;7;10;0;0;0;0
416;"Camocim";"Municipal";29/11/11;"CE";"Camocim";1;"SIM";"FINALIZADO";122;61;18;6;0;207;5;5;5;5;20;11;6;2;19
417;"Criciúma";"Regional";29/11/11;"SC";"Criciúma, Cocal do Sul,  Forquilhinha, Içara, Lauro Muller, Morro da Fumaça, Nova Veneza, Orleans, Siderópolis, Treviso, Urussanga ";11;"SIM";"FINALIZADO";41;37;10;3;0;91;5;5;5;5;20;17;9;3;29
418;"Fortim";"Municipal";29/11/11;"CE";"Fortim";1;"SIM";"FINALIZADO";52;30;10;7;3;102;5;4;4;3;16;6;3;1;10
419;"Pau dos Ferros";"Regional";29/11/11;"RN";"Pau dos Ferros, Alexandria, Francisco Dantas, Luís Gomes, Major Sales, Messias Targino, Olho-d'Água do Borges, Rafael Fernandes, Riacho da Cruz";9;"SIM";"FINALIZADO";25;48;6;5;0;84;3;6;6;5;20;4;9;3;16
420;"Primavera do Leste";"Municipal";29/11/11;"MT";"Primavera do Leste";1;"SIM";"FINALIZADO";6;61;5;72;0;144;5;5;5;5;20;6;2;1;9
421;"São Fidélis";"Municipal";29/11/11;"RJ";"São Fidélis";1;"SIM";"FINALIZADO";68;17;7;0;15;107;5;5;5;5;20;3;1;1;5
422;"Siriri";"Municipal";29/11/11;"SE";"Siriri";1;"SIM";"FINALIZADO";42;61;11;2;2;118;3;5;6;6;20;7;1;2;10
423;"Trindade";"Livre";29/11/11;"GO";"Trindade";0;"SIM";"FINALIZADO";24;1;2;0;0;27;0;0;0;10;10;0;0;0;0
424;"Umari";"Municipal";29/11/11;"CE";"Umari";1;"SIM";"FINALIZADO";12;13;2;13;10;50;1;1;1;1;4;1;0;0;1
425;"Londrina";"Municipal";30/11/11;"PR";"Londrina";1;"SIM";"NÃO RELATADA";;;;;;0;;;;;0;;;;0
426;"Boa Vista ";"Livre";30/11/11;"RR";"Boa Vista - EE Diomedes Souto Maior";0;"SIM";"FINALIZADO";251;12;2;0;0;265;1;3;2;4;10;0;0;0;0
427;"Boa Vista ";"Livre";30/11/11;"RR";"Boa Vista - EE Mário David Andreazza";0;"SIM";"FINALIZADO";253;19;3;0;0;275;2;5;0;3;10;0;0;0;0
428;"Boa Vista ";"Livre";30/11/11;"RR";"Boa Vista - EE Osvaldo Cruz (Matutino)";0;"SIM";"FINALIZADO";238;19;3;0;0;260;3;6;0;1;10;0;0;0;0
429;"Dourados";"Livre";30/11/11;"MS";"Dourados";0;"SIM";"FINALIZADO";10;33;1;0;0;44;5;0;0;4;9;0;0;0;0
430;"Ilha das Flores";"Municipal";30/11/11;"SE";"Ilha das Flores";1;"SIM";"FINALIZADO";51;35;14;4;10;114;1;7;7;5;20;1;1;1;3
431;"Itaara";"Regional";30/11/11;"RS";"Itaara, Júlio de Castilhos, Santa Maria, Santiago, São Gabriel, São Pedro do Sul, São Sepé, Tupanciretã";8;"SIM";"FINALIZADO";15;51;2;15;3;86;4;5;5;5;19;14;25;3;42
432;"Itabuna";"Municipal";30/11/11;"BA";"Itabuna";1;"SIM";"FINALIZADO";117;155;10;7;79;368;4;5;5;6;20;5;3;1;9
433;"Itaitinga";"Municipal";30/11/11;"CE";"Itaitinga";1;"SIM";"FINALIZADO";11;57;8;0;0;76;4;4;6;5;19;4;3;1;8
434;"João Monlevade";"Municipal";30/11/11;"MG";"João Monlevade";1;"SIM";"FINALIZADO";26;33;16;0;3;78;2;6;7;3;18;6;4;2;12
435;"Peixe-Boi";"Municipal";30/11/11;"PA";"Peixe-Boi";1;"SIM";"FINALIZADO";41;23;4;5;3;76;7;4;3;6;20;1;0;0;1
436;"Poço Verde";"Municipal";30/11/11;"SE";"Poço Verde";1;"SIM";"FINALIZADO";59;58;10;8;10;145;5;5;5;5;20;7;1;2;10
437;"Quixadá";"Municipal";30/11/11;"CE";"Quixadá";1;"SIM";"FINALIZADO";22;39;4;2;0;67;1;6;1;6;14;7;5;2;14
438;"Rio de Janeiro";"Livre";30/11/11;"RJ";"Rio de Janeiro";0;"SIM";"FINALIZADO";57;9;1;0;0;67;0;10;0;0;10;0;0;0;0
439;"Saboeiro";"Municipal";30/11/11;"CE";"Saboeiro";1;"SIM";"FINALIZADO";90;31;12;7;10;150;5;5;5;5;20;6;3;1;10
440;"São João dos Patos";"Regional";30/11/11;"MA";"São João dos Patos, Benedito Leite, Buriti Bravo, Colinas, Jatobá, Mirador, Nova Iorque, Paraibano, Passagem Franca, Pastos Bons, São Domingos do Azeitão, Sucupira do Norte, Sucupira do Riachão ";13;"SIM";"FINALIZADO";86;35;12;6;0;139;4;7;4;5;20;6;3;1;10
441;"São José do Hortêncio";"Municipal";30/11/11;"RS";"São José do Hortêncio";1;"SIM";"FINALIZADO";2;7;7;1;1;18;2;1;3;2;8;1;1;0;2
442;"São Sebastião";"Municipal";30/11/11;"AL";"São Sebastião";1;"SIM";"FINALIZADO";60;30;10;42;47;189;3;4;6;7;20;6;3;1;10
443;"Simão Dias";"Municipal";30/11/11;"SE";"Simão Dias";1;"SIM";"FINALIZADO";170;25;15;4;0;214;1;1;1;1;4;0;2;0;2
444;"Sobradinho";"Municipal";30/11/11;"BA";"Sobradinho";1;"SIM";"FINALIZADO";13;33;3;2;5;56;5;5;4;5;19;1;1;1;3
445;"Tubarão";"Regional";30/11/11;"SC";"Tubarão, Armazém, Braço do Norte, Capivari de Baixo, Imaruí, Imbituba, Jaguaruna, Laguna, Pedras Grandes, Rio Fortuna, Sangão, Santa Rosa de Lima, São Martinho, Treze de Maio";14;"SIM";"FINALIZADO";69;49;20;2;1;141;4;3;6;7;20;15;7;2;24
